comparisonID	jaccard	cosine	sigjaccard	chrDir
22659600_1	-0.0538702657135459	-0.252886331604794	-0.101340150166288	-0.0601283264139507
24361742_1	-0.0175822173176499	-0.10715550963822	-0.0156423209221745	0
GSE72258_1	-0.000249252243270189	-0.0501271997497643	-0.000556173526140156	0
GSE72258_2	-0.000641299700726806	-0.0204761377888924	NA	0
GSE69531_1	-0.047122072220134	-0.104373592140546	NA	NA
GSE69531_2	-0.0834559772815111	-0.178956854034023	NA	NA
GSE69531_3	-0.0516542158375324	-0.116502710906472	NA	NA
GSE69531_4	-0.047122072220134	-0.104373592140546	NA	NA
GSE58203_1	0.0176895968257291	0.106909925409698	0.0268084609625146	0.0309433527953657
GSE58203_2	0.0222719688250667	0.1075195229153	0.0287999016681507	0.0308038475276382
GSE58203_3	0.0360287409067897	0.140955889695962	0.0449377821828781	0.0431483295866122
GSE58203_4	0.0320953043248788	0.129333392628866	0.0385996549831853	0.0534201956297249
GSE58203_5	0.00496573466913166	0.032942537527122	0.00523031567655114	0.0199073989931077
GSE58203_6	0.0165878091905414	0.0557558015294456	0.018322695209805	0.0222343614451584
GSE58203_7	0.0169091470363619	0.0651214957181376	0.014395891360679	0.0195970739420458
GSE58203_8	-0.000892018246013197	0.008359422385156	0.0011870483392131	0.0016318656222318
GSE59642_1	-0.0132490632528836	-0.0197016118035113	NA	NA
GSE59642_2	-0.0293549587824785	-0.0620665927545939	NA	NA
GSE59642_3	-0.0218007912224633	-0.0467132595537455	NA	NA
GSE64922_1	0.0325731781425171	0.150690535920616	0.0290997287450563	0.0261470572882291
GSE60162_1	0.00444213611129355	0.0995070901364142	NA	NA
GSE31685_1	0.0164617193645138	0.0442260996779468	0.0202308974574571	0
E-MEXP-3890_1	0.0244289846851401	0.0598517666645652	0.0269485486515847	0.0144839057598704
GSE31980_1	0.0632508861924504	0.156943874018543	0.0508883096825618	0
GSE15615_1	0.0350058548117826	0.107440499760847	0.0334292308768049	0
GSE15083_1	-0.00212992862962076	-0.0189035509281245	NA	0.000760019107762005
GSE108035_1	-0.00525243216890842	-0.0104463109468683	-0.0147331762630004	-0.00133120344934012
GSE108035_2	-0.0265879615318275	-0.0345239515926802	-0.0137129203743108	-0.00143744486161548
GSE108035_3	-0.0214694982540276	-0.0251311847465165	-0.00676137914758582	0.00532255567037294
GSE21959_1	-0.0377435228400173	-0.134508530917341	-0.0368754587124014	-0.00512600069264275
GSE21959_2	-0.0273241807757838	-0.110733941895916	-0.0312068426296697	-0.00543288528972961
GSE24742_1	0.00271147926809338	0.0227276582977658	NA	0.00438173610750044
GSE24742_2	0.00173308198331166	0.0162761839272904	NA	0.0210719090013234
GSE24742_3	-0.00319900182022842	0.0153850995894677	NA	-0.0197076146253803
GSE74668_1	0.0159965099946215	0.109436903865423	NA	NA
E-GEOD-10024_1	0.0391601713237184	0.160478923609093	NA	NA
E-GEOD-10024_2	0.0498124023460507	0.149940634509232	NA	NA
E-GEOD-12860_1	0.0112006059204791	0.0234104583639306	NA	NA
E-GEOD-12860_2	-0.0262462743755239	-0.12207296390578	NA	NA
E-GEOD-12860_3	-0.0161350153441296	-0.0722620197744371	NA	NA
E-GEOD-12860_4	-0.0148705741004509	-0.0768026132854837	NA	NA
E-GEOD-12860_5	-0.0148134526930086	-0.059817219251287	NA	NA
E-GEOD-12860_6	-0.0234895745079049	-0.116355312802474	NA	NA
E-GEOD-12860_7	-0.0260940493474606	-0.109102055408756	NA	NA
E-GEOD-12860_8	-0.00273945175287567	-0.0261654503926097	NA	NA
