comparisonID	jaccard	cosine	sigjaccard	chrDir
22659600_1	0.00524729695915941	0.0113221754713994	-0.00871926540355704	-0.00888065041290848
24361742_1	0.0315524358638863	0.0986210457410685	0.00488380650383346	0.00288433855289472
GSE72258_1	0	-0.0324072819417559	0	0.00642054351669866
GSE72258_2	0.000564334085778781	-0.0163167421981024	0	-0.000246944067168785
GSE69531_1	0.0118855240975892	0.0228488286349421	NA	NA
GSE69531_2	0.0211324333217407	0.0516400287300742	NA	NA
GSE69531_3	0.0109042037798867	0.0370180230456972	NA	NA
GSE69531_4	0.0118855240975892	0.0228488286349421	NA	NA
GSE58203_1	-0.0166156500501077	-0.0521743369554297	-0.0136542635312018	-0.0298550322589989
GSE58203_2	-0.0086147922761188	-0.052492111088374	-0.015132598153801	-0.0277472718150684
GSE58203_3	-0.0195869602367214	-0.0663682069429747	-0.0246201587750422	-0.0284779283136408
GSE58203_4	-0.0164483867011359	-0.0569524113233298	-0.0182260434685629	-0.0333129769159955
GSE58203_5	-0.0221422668631697	-0.083769173711943	-0.00342880193626462	-0.0188178201109236
GSE58203_6	-0.00663714130927601	-0.048407997637616	-0.00507977583144485	-0.00523214695313097
GSE58203_7	-0.00646417527968849	-0.0285935758105247	-0.0109400858045233	-0.00376510329910748
GSE58203_8	0.00855361270116756	0.0265989468194137	-0.00481825752611417	0.00635535340470324
GSE59642_1	-0.011780857066385	-0.036384070419447	NA	NA
GSE59642_2	0.0134862192303956	0.0265657551780097	NA	NA
GSE59642_3	0.0269916966229925	0.0754224668898463	NA	NA
GSE64922_1	-0.0385728703965383	-0.0963313209268238	-0.00168309409420035	-0.036969725918314
GSE60162_1	0.00483693196801165	0.0163095486736185	NA	NA
GSE31685_1	-0.0229575075095451	-0.0635875429763676	-0.000375874494266674	-0.0165614480286962
E-MEXP-3890_1	0.0373359953718357	0.085109830111669	0.00795674203165211	0.013033477081626
GSE31980_1	-0.00658954472952186	-0.0279996317980932	-0.000543489154901364	-0.0236826380928718
GSE15615_1	-0.0331150647626452	-0.0972239881334933	-0.00802026989855626	0
GSE15083_1	0.000142753803805111	0.0475061073309328	NA	0.0151721641127381
GSE108035_1	0.0108721631614802	0.0251200486230607	0.00601149596968401	0.00247727791967382
GSE108035_2	0.0130302088985393	0.0389216547158965	0.00663517807621198	0.00180058918761235
GSE108035_3	0.0131686762842492	0.0580158696154628	0.00522599521631902	0.0171314546248219
GSE21959_1	0.0040370387087005	-0.00019576326436219	-0.00204619335629251	-0.00140869592042339
GSE21959_2	0.00668698081119683	0.00816252005516725	0.00154392238553997	-0.00469445392841404
GSE24742_1	-0.000261319485858597	-0.0300779410458583	NA	0.00961348104794217
GSE24742_2	-0.000410002184463399	-0.0458621225525459	NA	0.0164582377035829
GSE24742_3	-0.0117127722522253	-0.0711783194737989	NA	-0.0317092538035552
GSE74668_1	-0.0158388913589417	-0.065664832383976	NA	NA
E-GEOD-10024_1	-0.0133131049943436	-0.0493310388665098	NA	NA
E-GEOD-10024_2	-0.0178196166923372	-0.0421958721326363	NA	NA
E-GEOD-12860_1	-0.00695471331456671	-0.00367628399783495	NA	NA
E-GEOD-12860_2	0.0026530857709321	0.0202084913483202	NA	NA
E-GEOD-12860_3	0.000948852108468883	0.0145827203815209	NA	NA
E-GEOD-12860_4	-0.00888703661544577	-0.0174106923829773	NA	NA
E-GEOD-12860_5	-0.00593920711292204	0.00893097487280664	NA	NA
E-GEOD-12860_6	0.00560901354051847	0.0189942158854203	NA	NA
E-GEOD-12860_7	-0.00528890437191689	-0.00478385744550264	NA	NA
E-GEOD-12860_8	-0.0107497929792251	-0.00305841538878729	NA	NA
E-GEOD-14359_1	-0.00473396011618211	-0.014378428894039	-1.63290857155447e-05	0.00561013618800184
E-GEOD-14359_2	-0.0497159907005309	-0.10336537764626	-0.0274965154838307	-0.0121520909298054
E-GEOD-1919_1	-0.0236552300930981	-0.080473813878982	NA	NA
E-GEOD-1919_2	-0.0261954630631196	-0.0936178972947989	NA	NA
E-GEOD-1919_3	-0.0176546361450813	-0.0679942243305208	NA	NA
E-GEOD-1919_4	-0.0418973284753201	-0.0961012918518432	NA	NA
E-GEOD-1919_5	-0.0409275192645268	-0.114061693401904	NA	NA
E-GEOD-1919_6	-0.0147551390162092	-0.0536502755003669	NA	NA
E-GEOD-1919_7	-0.0150674437536972	-0.0391537935564443	NA	NA
E-GEOD-1919_8	-0.0230787794514458	-0.0529942722483686	NA	NA
E-GEOD-1919_9	0.00327167119283976	0.0373754457800915	NA	NA
E-GEOD-19664_1	0.000173384808713963	0.026611929526035	NA	NA
E-GEOD-19664_2	-0.0194383955922897	-0.0578149751286684	NA	NA
E-GEOD-19664_3	-0.00362760051198789	0.00645280119421134	NA	NA
E-GEOD-19664_4	-0.00521985952661826	0.0129815996473836	NA	NA
E-GEOD-19664_5	-0.0244270442210817	-0.0850306365676867	NA	NA
E-GEOD-19664_6	-0.00233678064716201	0.00430655086649382	NA	NA
E-GEOD-43923_1	-0.0337512165462276	-0.0709427467549716	-0.0200562205108644	-0.0233337435271899
E-GEOD-51812_1	-0.000915742650087311	-0.00503134427190174	0.00162476621575633	0.0040730605806699
E-GEOD-51812_2	-0.00353651382447405	-0.0134296976040165	0.000229135840590996	-0.00214796918959455
E-GEOD-68760_1	-0.0315549991730211	-0.0856418374595599	-0.0195285955276514	-0.0195450266677618
E-GEOD-82107_1	-0.00311271546372923	-0.0150927472126959	0.00715280273086597	0.00500176594109323
