comparisonID	jaccard	cosine	sigjaccard	chrDir
22659600_1	0.0894331679404542	0.335437263279461	0.129170708657562	0.0559977373662997
24361742_1	0.0589844453983551	0.246885565537277	0.0174156851359217	0
GSE72258_1	0.000602905096464815	0.0317285577829226	0.000939777834803363	0
GSE72258_2	0.000388802488335925	0.0123667590292006	NA	0
GSE69531_1	0.0427721121846681	0.112711232536041	NA	NA
GSE69531_2	0.0963092396538502	0.227349402551701	NA	NA
GSE69531_3	0.0704760277459179	0.165084204286742	NA	NA
GSE69531_4	0.0427721121846681	0.112711232536041	NA	NA
GSE58203_1	-0.0154330215082953	-0.11560280307474	-0.0203928802984147	-0.00104468347666707
GSE58203_2	-0.0165175229359371	-0.0953113906271081	-0.0226485599696402	-0.00337633609126266
GSE58203_3	-0.00964978199437863	-0.0513802083515649	-0.0123828078585377	0.00567958836283378
GSE58203_4	-0.00223680896938228	-0.0224814352478105	-0.000521177437775348	-0.000809132166518369
GSE58203_5	-0.0136403485263689	-0.0980412341959403	-0.0172229320142364	-0.0134128353000719
GSE58203_6	-0.0231471081624799	-0.0772539854468747	-0.028318724627245	0.00127974206707272
GSE58203_7	0.00162717026989861	-0.0120186722284485	0.00492403607067352	0.0121787916840036
GSE58203_8	0.0190145511339949	0.0460167279128473	0.0265549318801245	0.016677964420076
GSE59642_1	0.0219209987280186	0.0567572204087508	NA	NA
GSE59642_2	0.0236570940308908	0.0559448831049272	NA	NA
GSE59642_3	0.00296177872343478	-0.00612687908744024	NA	NA
GSE64922_1	-0.0124616149887321	-0.0904750895589477	-0.0173730268153065	-0.00918996601843343
GSE60162_1	-0.00312021227144294	0.0255312844240016	NA	NA
GSE31685_1	0.00145233027350475	-0.00973752579376296	-0.017804253953111	0
E-MEXP-3890_1	-0.00289267189454367	-0.0157655441642982	0.00790007505583178	0.00302533547299623
GSE31980_1	-0.00315992745977112	-0.0271116389056685	-0.0169006618920916	0
GSE15615_1	-0.0184546057325558	-0.0928734649934053	-0.0244104236925107	0
GSE15083_1	0.00177183741351171	0.0392127400590234	NA	-0.0105447758057586
GSE108035_1	-0.00695186180338797	-0.0121234548665544	-0.0138797232333282	-0.016685079245231
GSE108035_2	-0.0295700168027993	-0.0500115018065564	-0.0308877204719141	-0.0212464706859326
GSE108035_3	-0.0424982745678869	-0.0919016024403296	-0.0411690138379063	-0.0187676995730619
GSE21959_1	0.0172868890020306	0.0427625613413078	0.0140028521026056	0.00984271510138143
GSE21959_2	0.0128585989198647	0.0186377379005339	0.0108163738499489	0.0159721930348538
GSE24742_1	0.0144356490060245	0.123061099006087	NA	0.0253879666942436
GSE24742_2	-0.00229247771841793	0.0121073005862397	NA	0.00842097187026634
GSE24742_3	-0.000904669195302578	-0.0159806947330553	NA	-0.00786675597643113
GSE74668_1	-0.0124831814277237	-0.0716802958785416	NA	NA
E-GEOD-10024_1	-0.0206611361606832	-0.0715488278237684	NA	NA
E-GEOD-10024_2	-0.0290169413131301	-0.108742804903154	NA	NA
E-GEOD-12860_1	-0.0149911258751389	-0.0723979606577716	NA	NA
E-GEOD-12860_2	-0.01752264431328	-0.0714062801896746	NA	NA
E-GEOD-12860_3	-0.0042176594392102	-0.0157453386855392	NA	NA
E-GEOD-12860_4	-0.00207433639130695	-0.0275856466313949	NA	NA
E-GEOD-12860_5	-0.015844519351402	-0.046973194400154	NA	NA
E-GEOD-12860_6	-0.0187591762403183	-0.0551156311879625	NA	NA
E-GEOD-12860_7	-0.00736564621353784	-0.0258009946375061	NA	NA
E-GEOD-12860_8	-0.00541849004967947	-0.0324596440416594	NA	NA
E-GEOD-14359_1	-0.0141010987079187	-0.013324273888151	0.000418808128528646	0.0149223394988164
E-GEOD-14359_2	-0.0153658303008474	-0.0720475647472629	-0.0240760197357497	0.00742354439727244
E-GEOD-1919_1	-0.0131470267575913	-0.0631938992612208	NA	NA
E-GEOD-1919_2	-0.0248890600970874	-0.0612705885322619	NA	NA
E-GEOD-1919_3	-0.0125212358468939	-0.0375474139438299	NA	NA
E-GEOD-1919_4	-0.00480138448155541	0.00860635631034364	NA	NA
E-GEOD-1919_5	-0.0142771840627579	-0.0198248605933945	NA	NA
E-GEOD-1919_6	0.0133865284466525	0.0608267592831016	NA	NA
E-GEOD-1919_7	0.0182783521226767	0.117655424345793	NA	NA
E-GEOD-1919_8	0.0110391201329006	0.0881726514306476	NA	NA
E-GEOD-1919_9	0.00169831405534508	0.0147836922877559	NA	NA
E-GEOD-19664_1	-0.0323927572025405	-0.116541296700957	NA	NA
E-GEOD-19664_2	0.0207757181501044	0.0645636509990449	NA	NA
E-GEOD-19664_3	0.0368172201734461	0.0926108357790213	NA	NA
E-GEOD-19664_4	-0.0121135017078199	-0.0544979942270822	NA	NA
E-GEOD-19664_5	0.0123689271699023	0.0418114971648532	NA	NA
E-GEOD-19664_6	0.0499238719725823	0.118969942332281	NA	NA
E-GEOD-43923_1	-0.121871997525597	-0.276904879399072	-0.0410244515829802	-0.0289163980542434
E-GEOD-51812_1	-0.00355577789306548	0.0294725278196608	0.0157570175818365	0.00518056309719552
E-GEOD-51812_2	-0.0161705525351847	-0.00403056771299202	0.00744097718477416	0.017245245943319
E-GEOD-68760_1	-0.0372105196608752	-0.124336991894953	-0.0435916797035786	-0.00995231871520657
E-GEOD-82107_1	0.00800858077871232	0.0227301074046529	0	0.0217525787004272
E-GEOD-9451_1	0.0584325825988189	0.148836929897267	0.0596658880344869	0.0334664983301725
E-GEOD-9451_2	0.0063311987780367	0.00974491111784018	0.00888806339003604	0.00201786487100615
