comparisonID	jaccard	cosine	sigjaccard	chrDir
22659600_1	0.0218756331600829	0.0950254367634821	0.0379746651126635	0.00666523711304754
24361742_1	0.00997735816272829	0.0967802033872098	0.00483232630772142	-0.00667517149764526
GSE72258_1	-0.000130924307800239	-0.0160343293035133	-0.00019105846388995	0.000523571898854876
GSE72258_2	-0.000261437908496732	0.0115860970627905	-0.00248756218905473	0.0101521390986044
GSE69531_1	0.0346444776116143	0.0761125290721641	NA	NA
GSE69531_2	0.074338436808815	0.112737184967929	NA	NA
GSE69531_3	0.0398220233202169	0.0797485091754171	NA	NA
GSE69531_4	0.0346444776116143	0.0761125290721641	NA	NA
GSE58203_1	-0.0107721445563912	-0.0927802700323066	-0.0104794245586039	0.00899026488904333
GSE58203_2	-0.0160708877882052	-0.0911507604518018	-0.0178009685011669	0.0141272111877438
GSE58203_3	-0.0284859564952616	-0.0721770378085565	-0.0302483506938007	0.00755598404911157
GSE58203_4	0.00678438764119709	0.0211767491003328	0.0104191953688646	0.00872245777046075
GSE58203_5	-0.0106282522896099	-0.106839756875565	-0.0116398435268448	0.0225572792081203
GSE58203_6	-0.0184652450571339	-0.0999340879518582	-0.0246413977645586	0.00176709030670402
GSE58203_7	-0.0106984434304219	-0.0383443849214192	-0.0105367380484803	-0.00322945993683499
GSE58203_8	0.0264797322440926	0.0597793577981424	0.029239429442489	-0.00303172820356797
GSE59642_1	-0.0244816877156774	-0.0310163251147368	NA	NA
GSE59642_2	0.0385017847174735	0.0719944326525406	NA	NA
GSE59642_3	0.0674220145932847	0.12080947033347	NA	NA
GSE64922_1	-0.038473477408169	-0.136473822833234	-0.0492671995459028	0.0395038398134373
GSE60162_1	0.00201340848026237	0.0535403673802609	NA	NA
GSE31685_1	-0.0190167331286798	-0.0698754161913344	-0.0257467363634888	-0.00499609713402817
E-MEXP-3890_1	-0.020781787372829	-0.069872229596526	-0.0239017976346263	0.00419993790139018
GSE31980_1	-0.040055713386486	-0.0786538688789574	-0.0474173582984839	0.0125607931287391
GSE15615_1	-0.057559853083487	-0.114817858410807	-0.0619819272519616	0
GSE15083_1	0.000204255950362324	-0.00279168599280612	NA	0.0052192806690434
GSE108035_1	0.014476289036493	0.0346081682863556	0.0205538206918642	0.00202815071830524
GSE108035_2	0.0669140243115971	0.102227186215362	0.0753447808856622	-0.00872785889909177
GSE108035_3	0.0660703741522262	0.107552218910074	0.0783265599212048	-0.0124553236112754
GSE21959_1	-0.00342557324375821	-0.0163015995421658	-0.00298983274125136	-0.00242760486012323
GSE21959_2	-0.00413295752312115	-0.0506578053968217	-0.00588632014892389	0.00012903827235907
GSE24742_1	0.00375528208605748	0.0308437137440177	NA	0.0228201335470321
GSE24742_2	0.000344166663952314	0.00266356281683855	NA	-6.59133497078364e-05
GSE24742_3	0.00303191227851534	-0.00115428341421204	NA	0.00164633435750071
GSE74668_1	-0.00652680230729549	-0.047404694628399	NA	NA
E-GEOD-10024_1	-0.0102628909304895	-0.0540316498955995	NA	NA
E-GEOD-10024_2	-0.0184148423394305	-0.0793097452818737	NA	NA
E-GEOD-12860_1	-0.00751927602708869	-0.0409870541839443	NA	NA
E-GEOD-12860_2	0.0113074695506572	0.0332224761267818	NA	NA
E-GEOD-12860_3	0.00600566365241861	0.0234001235457176	NA	NA
E-GEOD-12860_4	0.0033733626877744	0.0165491410021098	NA	NA
E-GEOD-12860_5	0.00393921097160282	0.00878578687198645	NA	NA
E-GEOD-12860_6	0.0134598694634021	0.0473626212612136	NA	NA
E-GEOD-12860_7	0.0102638896595446	0.0182441775905556	NA	NA
E-GEOD-12860_8	0.00206759686396058	0.000327465951455421	NA	NA
E-GEOD-14359_1	0.0207392233359728	0.000398059727078846	0.0314923459214181	0.00838482397946978
E-GEOD-14359_2	-0.0365411026273123	-0.124662978462141	-0.0554355130768562	0.0129295032957257
E-GEOD-1919_1	-0.0113682477563682	-0.0783223858807587	NA	NA
E-GEOD-1919_2	-0.019591100563234	-0.0547103363878356	NA	NA
E-GEOD-1919_3	-0.0118660873381664	-0.0190640413115062	NA	NA
E-GEOD-1919_4	-0.015471497467029	-0.0602468877810253	NA	NA
E-GEOD-1919_5	-0.0229296945928051	-0.0552860971226223	NA	NA
E-GEOD-1919_6	0.0022451298251396	-0.0114540625079115	NA	NA
E-GEOD-1919_7	0.000500121765697419	0.00108750640964239	NA	NA
E-GEOD-1919_8	-0.00643722898493516	-0.0249857636123484	NA	NA
E-GEOD-1919_9	0.000462531821169242	0.0462746045971409	NA	NA
E-GEOD-19664_1	-0.0117793780700438	-0.0201744614411773	NA	NA
E-GEOD-19664_2	0.0117749308978067	-0.000185220198807908	NA	NA
E-GEOD-19664_3	0.0126768637381236	0.0343530758655721	NA	NA
E-GEOD-19664_4	-0.0183593788258117	-0.0504117793218942	NA	NA
E-GEOD-19664_5	0.0136000914502505	0.0243974477427386	NA	NA
E-GEOD-19664_6	0.03300150892063	0.0721648671578555	NA	NA
E-GEOD-43923_1	-0.060844801149699	-0.17849390973231	-0.0380813035960044	0.0140197364059537
E-GEOD-51812_1	0.0279946204745292	0.0477135854516227	0.0315707468611656	-0.002579534662868
E-GEOD-51812_2	0.0114708691037252	0.00708604858534793	0.0136140863031659	-0.00162549706947986
E-GEOD-68760_1	-0.0372968908414139	-0.0893402232557056	-0.0377579171983547	0.0233282377584394
E-GEOD-82107_1	-0.00344991368137794	0.00631861069160827	-0.00562741241367476	0.0284761040654727
E-GEOD-9451_1	0.00222807936527152	0.0157380861318344	0.00281901236560889	0.0138491339408455
