comparisonID	jaccard	cosine	sigjaccard	chrDir
22659600_1	0.011673287669969	0.0652155609740713	0.0106703752499269	0.0140869836954907
24361742_1	0.0205071082302476	0.127619034732083	0.00448149097736797	0
GSE72258_1	-0.000173010380622837	-0.00829327204029458	-0.000311332503113325	0
GSE72258_2	1.34484884285087e-05	-0.00318136365075581	NA	0
GSE69531_1	0.0419279342576309	0.0978879739715499	NA	NA
GSE69531_2	0.0343975612631244	0.079439184562965	NA	NA
GSE69531_3	-0.00795510652178345	-0.0205349695430573	NA	NA
GSE69531_4	0.0419279342576309	0.0978879739715499	NA	NA
GSE58203_1	-0.00508058733508436	-0.0597935471915015	-0.00384441241010789	-0.00232274957443272
GSE58203_2	-0.012017440383761	-0.0676107813863183	-0.0120014155819691	-0.00178079463974218
GSE58203_3	-0.0336772087979611	-0.0751303803112908	-0.0334487583175913	-0.0165778194956718
GSE58203_4	-0.0410532004970084	-0.0894389442065115	-0.0354862940179879	-0.0293085005568623
GSE58203_5	-0.00668854280370879	-0.0149568619932507	-0.00501532142068761	-0.0119444005690152
GSE58203_6	-0.00948472805215175	-0.0377416250161802	-0.0114880599108615	-0.00814977300230646
GSE58203_7	-0.0197949164984804	-0.0393795518113401	-0.0229879041295494	-0.00542631300465651
GSE58203_8	-0.02540375660997	-0.0452306432402412	-0.0246631416354986	-0.00408568445473845
GSE59642_1	0.021040779674833	0.0562853661399859	NA	NA
GSE59642_2	0.00581869616441015	0.0264260622845616	NA	NA
GSE59642_3	-0.0222066839054967	-0.0393487589956484	NA	NA
GSE64922_1	-0.00876571781772381	-0.056011433079601	-0.0147603391635592	-0.0183131648754808
GSE60162_1	0.00177482785356445	0.0435200735796811	NA	NA
GSE31685_1	0.0021913455810133	0.00524496684297633	-0.00117863474524312	0
E-MEXP-3890_1	-0.0501388492294557	-0.143856583214737	-0.0430656587964328	-0.0311959744355569
GSE31980_1	-0.0137163575123471	-0.0486408489509752	-0.0131644369255231	0
GSE15615_1	-0.0468865667440338	-0.137236049648059	-0.0420266936827874	0
GSE15083_1	0.00741369147909734	0.150145976830869	NA	0.0444522175492462
GSE108035_1	0.00154685723491248	0.000708728643141039	0.00542126427103212	-0.00527220145996296
GSE108035_2	0.000696801301673669	-0.0304342987392172	0.00337442867159989	-0.0223883449686446
GSE108035_3	-0.00491394745460461	-0.0433049611741574	0.000719766511855929	-0.0177128201804986
GSE21959_1	0.00598795239814467	0.0450894872568033	0.00667018118346508	-0.000599257440650596
GSE21959_2	0.00534596092812989	0.0322523644760052	0.00676185081680487	-0.000832752288152228
GSE24742_1	-0.010773139427657	-0.0541048154955052	NA	-0.0307900302272071
GSE24742_2	0.0026521695528539	0.061389316886781	NA	0.0113711220416214
GSE24742_3	0.00180701763401806	0.055217170443355	NA	-0.00113062280505637
GSE74668_1	-0.00502665279445961	0.00424059294801637	NA	NA
E-GEOD-10024_1	-0.000786134481804476	0.0276891756101696	NA	NA
E-GEOD-10024_2	-0.0228389143960859	-0.0629827350626465	NA	NA
E-GEOD-12860_1	-0.0268493707719766	-0.124999849179422	NA	NA
E-GEOD-12860_2	-0.0175501122171255	-0.0532012917785088	NA	NA
E-GEOD-12860_3	-0.0227391492984425	-0.0675684313531896	NA	NA
E-GEOD-12860_4	-0.0143550760814392	-0.0471684070680898	NA	NA
E-GEOD-12860_5	-0.0430043625778404	-0.0983093173632067	NA	NA
E-GEOD-12860_6	-0.00648693672073548	-0.0204429833299118	NA	NA
E-GEOD-12860_7	-0.0205063707812794	-0.0419286478669291	NA	NA
E-GEOD-12860_8	-0.0244937573109748	-0.0823243031222606	NA	NA
